time_seconds,note,freq_hz,intensity
0.998,	f#(5),	376.83,	10.421162605285645
2.113,	f#(5),	376.83,	43.41335678100586
3.831,	e笙ｭ(6),	635.23,	10.06124496459961
3.878,	e(6),	646.00,	13.06778621673584
3.924,	a(5),	430.66,	22.24286651611328
3.947,	g#(5),	419.90,	29.77036476135254
4.087,	a(5),	430.66,	47.01948165893555
4.528,	g#(5),	419.90,	79.0568618774414
4.621,	a(4),	215.33,	19.01742172241211
5.759,	b笙ｭ(5),	473.73,	16.86519432067871
6.223,	b(5),	484.50,	156.86993408203125
6.362,	b笙ｭ(5),	473.73,	165.80435180664062
6.548,	b笙ｭ(4),	236.87,	27.198137283325195
7.454,	b(5),	506.03,	11.176447868347168
7.500,	g(6),	764.43,	21.74901580810547
7.802,	f#(6),	753.66,	36.942264556884766
7.872,	b(6),	1012.06,	63.46677017211914
7.988,	b(5),	506.03,	81.03937530517578
8.522,	b(4),	247.63,	106.49565124511719
9.683,	c#(5),	279.93,	15.795230865478516
9.799,	d(5),	290.70,	56.25198745727539
9.845,	c#(5),	279.93,	74.13367462158203
9.892,	d(5),	290.70,	92.34225463867188
10.751,	c#(5),	279.93,	10.336941719055176
11.378,	b笙ｭ(6),	958.23,	15.419135093688965
12.051,	e(6),	646.00,	38.81504821777344
12.074,	e(5),	323.00,	30.91114616394043
13.142,	c(7),	1076.66,	11.132063865661621
13.189,	f(5),	355.30,	42.08700942993164
13.584,	f#(5),	366.06,	126.6365966796875
13.677,	f(5),	355.30,	147.97006225585938
13.700,	f#(5),	366.06,	151.93002319335938
13.723,	f(5),	355.30,	143.80555725097656
14.280,	f#(5),	366.06,	11.754936218261719
14.745,	c#(7),	1130.49,	15.590989112854004
14.768,	d(7),	1141.26,	25.82427978515625
14.814,	f#(5),	376.83,	53.419334411621094
14.861,	d(7),	1141.26,	50.21183395385742
15.000,	c#(7),	1130.49,	69.9823989868164
15.348,	d(7),	1141.26,	105.64469146728516
15.418,	c#(7),	1130.49,	114.1308364868164
15.557,	f#(5),	376.83,	27.505016326904297
16.393,	a(5),	430.66,	19.703889846801758
16.579,	g#(5),	419.90,	56.102176666259766
16.602,	a(5),	430.66,	64.0733871459961
16.904,	g#(5),	419.90,	78.68326568603516
16.951,	a(5),	430.66,	79.31778717041016
17.090,	g#(5),	419.90,	68.36056518554688
17.136,	a(5),	430.66,	73.57674407958984
17.229,	g#(5),	419.90,	19.066408157348633
17.903,	b笙ｭ(5),	473.73,	20.733793258666992
17.995,	b(5),	484.50,	64.7526626586914
18.251,	b笙ｭ(5),	473.73,	169.1337127685547
18.506,	b(5),	484.50,	171.24951171875
18.530,	b笙ｭ(5),	473.73,	178.06858825683594
18.646,	b(5),	484.50,	223.525146484375
18.669,	b笙ｭ(5),	473.73,	201.1681365966797
19.435,	b(5),	495.26,	20.20658302307129
20.875,	c#(7),	1119.73,	17.4498233795166
20.944,	d(7),	1141.26,	30.91049575805664
21.060,	f(8),	2842.38,	56.45539474487305
21.246,	c#(7),	1130.49,	131.18394470214844
21.293,	f(8),	2842.38,	156.22134399414062
21.386,	c#(7),	1130.49,	163.38954162597656
21.455,	f(8),	2842.38,	155.6370086669922
21.478,	d(7),	1141.26,	113.11640930175781
21.502,	f(8),	2853.15,	84.35348510742188
21.548,	c#(7),	1130.49,	67.0455093383789
21.641,	d(7),	1141.26,	31.875097274780273
22.361,	b笙ｭ(7),	1894.92,	11.156343460083008
22.686,	e笙ｭ(6),	635.23,	48.075584411621094
22.779,	b笙ｭ(7),	1916.46,	74.53760528564453
22.872,	e(6),	646.00,	56.448097229003906
22.918,	e笙ｭ(6),	635.23,	71.4405517578125
22.941,	b笙ｭ(7),	1905.69,	90.90445709228516
22.988,	e笙ｭ(6),	635.23,	64.01225280761719
23.057,	e(6),	646.00,	24.265403747558594
23.104,	e笙ｭ(6),	635.23,	15.873838424682617
23.708,	f(8),	2863.92,	21.807065963745117
24.218,	f(6),	710.60,	67.38394927978516
24.242,	f(8),	2874.68,	91.3637466430664
24.381,	f#(8),	2885.45,	84.69596862792969
24.474,	f#(6),	721.36,	18.419628143310547
24.497,	f(7),	1421.19,	10.745336532592773
25.194,	g(6),	764.43,	10.189032554626465
25.240,	g(8),	3057.71,	25.641515731811523
25.449,	g(6),	764.43,	34.3689079284668
25.496,	f#(6),	753.66,	42.04747772216797
25.519,	f#(8),	3025.42,	54.267173767089844
25.704,	f#(7),	1518.09,	37.18988037109375
25.728,	f#(8),	3036.18,	34.89254379272461
25.751,	f#(6),	753.66,	45.538421630859375
25.774,	c#(8),	2260.99,	66.33133697509766
25.821,	f#(7),	1507.32,	38.40787124633789
25.844,	f#(6),	742.90,	27.467164993286133
26.517,	a(7),	1733.42,	10.161600112915039
26.564,	e(9),	5189.50,	18.422025680541992
26.610,	a(7),	1733.42,	19.144119262695312
26.680,	a(8),	3456.08,	20.914745330810547
26.842,	a(7),	1722.66,	38.74355697631836
26.865,	c(9),	4295.87,	46.75856399536133
26.889,	a(8),	3434.55,	45.80244827270508
26.935,	a(7),	1711.89,	32.95684814453125
26.958,	c(9),	4274.34,	31.207500457763672
27.074,	g#(6),	850.56,	38.2291374206543
27.167,	c(9),	4274.34,	40.1506462097168
27.237,	g#(6),	850.56,	50.816856384277344
28.003,	b笙ｭ(7),	1916.46,	10.40717887878418
28.050,	b笙ｭ(6),	958.23,	45.83332443237305
28.468,	b笙ｭ(7),	1905.69,	162.2474365234375
28.514,	b笙ｭ(6),	958.23,	131.08103942871094
28.537,	f#(8),	2896.22,	137.640625
28.607,	b笙ｭ(6),	958.23,	151.0211181640625
28.630,	b笙ｭ(7),	1905.69,	158.50685119628906
28.723,	b笙ｭ(6),	947.46,	12.038448333740234
29.257,	b(7),	2024.12,	15.832720756530762
29.304,	b(6),	1012.06,	54.67183303833008
29.350,	b(7),	2024.12,	70.01753234863281
29.396,	b(6),	1012.06,	74.9628677368164
29.513,	b(7),	2013.35,	119.34520721435547
29.605,	b(6),	1012.06,	132.68336486816406
29.629,	c(6),	1022.83,	129.37936401367188
29.675,	b(6),	1012.06,	153.3053436279297
29.791,	c(6),	1022.83,	113.78572082519531
29.838,	b(6),	1012.06,	120.36946105957031
29.861,	b(7),	1981.05,	111.7800521850586
29.954,	b(6),	1012.06,	109.54988098144531
29.977,	c(6),	1022.83,	74.25457000732422
30.557,	d(7),	1152.03,	20.977304458618164
30.929,	c#(7),	1130.49,	169.5918426513672
30.999,	d(7),	1141.26,	229.2736358642578
31.068,	c#(7),	1130.49,	44.175113677978516
31.092,	c#(8),	2271.75,	41.79176330566406
31.115,	c#(7),	1130.49,	115.60911560058594
31.208,	d(7),	1141.26,	167.09877014160156
31.254,	c#(7),	1130.49,	94.59183502197266
31.417,	d(7),	1141.26,	16.043231964111328
31.440,	c#(7),	1130.49,	16.176294326782227
31.463,	d(7),	1141.26,	13.740436553955078
31.951,	b笙ｭ(8),	3692.94,	10.712778091430664
32.090,	e笙ｭ(8),	2465.55,	21.34883689880371
32.229,	e(7),	1302.76,	25.53638458251953
32.253,	e(8),	2637.82,	28.957544326782227
32.369,	b(8),	3919.04,	39.47638702392578
32.392,	e(7),	1302.76,	47.44493865966797
32.508,	e(9),	5167.97,	24.369293212890625
32.601,	e(8),	2562.45,	17.270191192626953
32.624,	e(7),	1281.23,	27.667686462402344
32.694,	e(9),	5178.74,	21.09262466430664
32.717,	b(8),	3886.74,	27.292495727539062
32.763,	e(8),	2562.45,	24.15755844116211
32.787,	e(7),	1281.23,	38.78767776489258
32.856,	e笙ｭ(7),	1270.46,	22.628568649291992
32.879,	b(8),	3897.51,	25.588525772094727
32.926,	e(7),	1281.23,	33.713096618652344
33.019,	e(8),	2562.45,	18.06403160095215
33.646,	f#(7),	1464.26,	20.244239807128906
33.692,	f#(8),	2939.28,	27.482006072998047
34.040,	f#(7),	1453.49,	129.64010620117188
34.064,	f#(8),	2896.22,	197.73922729492188
34.249,	f(8),	2874.68,	211.3407440185547
34.296,	f#(8),	2896.22,	130.994140625
34.319,	f#(7),	1453.49,	67.47299194335938
35.109,	g(8),	3068.48,	17.953012466430664
35.643,	f#(8),	3036.18,	45.36631393432617
35.759,	g(8),	3057.71,	31.210819244384766
35.782,	g(9),	6126.20,	29.11666488647461
35.805,	g(8),	3057.71,	28.635515213012695
35.828,	f#(8),	3025.42,	41.58736038208008
35.898,	g(8),	3046.95,	34.77756118774414
36.014,	f#(8),	3025.42,	45.44684600830078
36.084,	g(8),	3046.95,	27.722923278808594
36.177,	f#(8),	3025.42,	37.09353256225586
